HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.paragraph_id,Input.content,Answer.ParaphraseQuestionBox,Approve,Reject
3QHITW7OYO9VRUCGQ33MS24B8OUQAU,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 08:30:48 PST 2016,1,BatchId:2299282;,180,86400,Mon Mar 14 09:30:48 PDT 2016,,,3M0NZ3JDP1YAM0ZK860JZ4WBVJDZ5I,A173LV77LF3SHB,Submitted,Mon Mar 07 08:34:19 PST 2016,Mon Mar 07 08:34:49 PST 2016,Tue Mar 08 08:34:49 PST 2016,,,,30,100% (1/1),100% (1/1),0% (0/0),Arepa-Similar_dishes,"<font color=""blue"">Question</font>: In Colombia, what is the ""arepuela"" similar to?<br/><font color=""blue"">Sentence(s)</font>: In Colombia, the ""arepuela"" is similar to the traditional ""arepa"".","What is ""arepuela"" similar to in Colombia?",,
3FBEFUUYRK52HCTWBUPOMXNK8NJ6AE,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 08:31:01 PST 2016,1,BatchId:2299282;,180,86400,Mon Mar 14 09:31:01 PDT 2016,,,3PW9OPU9PQKLS7VPICPT939NYUA12V,A173LV77LF3SHB,Submitted,Mon Mar 07 08:33:00 PST 2016,Mon Mar 07 08:33:13 PST 2016,Tue Mar 08 08:33:13 PST 2016,,,,13,100% (1/1),100% (1/1),0% (0/0),Enough_Said_(film)-Cast,"<font color=""blue"">Question</font>: Who played as Sarah in the movie ""enough said""?<br/><font color=""blue"">Sentence(s)</font>:  Toni Collette as Sarah","Sarah was played by what actress in the movie ""enough said""?",,
34R0BODSP1Z9OLAUMGH5QAZBX765ES,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 08:30:43 PST 2016,1,BatchId:2299282;,180,86400,Mon Mar 14 09:30:43 PDT 2016,,,3TMFV4NEP8EPFNDHVHNFCKCKG7BW8S,A182ZC63GBC4SB,Submitted,Mon Mar 07 08:37:36 PST 2016,Mon Mar 07 08:38:40 PST 2016,Tue Mar 08 08:38:40 PST 2016,,,,64,0% (0/0),0% (0/0),0% (0/0),October_Revolution-Impact_of_the_dissolution_of_the_USSR_on_historical_research,"<font color=""blue"">Question</font>: Why was it possible to re-examine the October Revolution?<br/><font color=""blue"">Sentence(s)</font>: Since 1991, increasing access to large amounts of Soviet archival materials made it possible to re‑examine the October Revolution.",How was it possible to re-examine the October Revolution?,,
3SSN80MU8COLC4MEO8B3GO30A3BKX0,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 08:30:49 PST 2016,1,BatchId:2299282;,180,86400,Mon Mar 14 09:30:49 PDT 2016,,,3F0BG9B9MPNP4E3Y0DDXJH15GV6Y77,A182ZC63GBC4SB,Submitted,Mon Mar 07 08:46:57 PST 2016,Mon Mar 07 08:47:24 PST 2016,Tue Mar 08 08:47:24 PST 2016,,,,27,0% (0/0),0% (0/0),0% (0/0),Glad_You_Came-In_popular_culture_/_Cover_versions,"<font color=""blue"">Question</font>: Which metalcore band covered this song?<br/><font color=""blue"">Sentence(s)</font>:  American metalcore band We Came as Romans released a cover of this song for the compilation album Punk Goes Pop 5.",Which metalcore band did a cover of this song?,,
372AGES0I457Z8Z9ESK0H0PE5V5XR6,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 08:30:49 PST 2016,1,BatchId:2299282;,180,86400,Mon Mar 14 09:30:49 PDT 2016,,,34J10VATJFYDKWT8SU00XKOCV21IQK,A182ZC63GBC4SB,Submitted,Mon Mar 07 08:46:13 PST 2016,Mon Mar 07 08:46:34 PST 2016,Tue Mar 08 08:46:34 PST 2016,,,,21,0% (0/0),0% (0/0),0% (0/0),What_Makes_You_Beautiful-Background_and_release,"<font color=""blue"">Question</font>: Who wrote ""What Makes You Beautiful?<br/><font color=""blue"">Sentence(s)</font>: ""What Makes You Beautiful"" was written by Rami Yacoub, Carl Falk and Savan Kotecha, and was produced by Yacoub and Falk.","What artist wrote ""What Makes You Beautiful""?",,
37Y5RYYI0P5J0NZMTHK57AUARXOXSU,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 08:30:49 PST 2016,1,BatchId:2299282;,180,86400,Mon Mar 14 09:30:49 PDT 2016,,,3IGI0VL647K2DLRJAXLODNPT20ENOY,A182ZC63GBC4SB,Submitted,Mon Mar 07 08:50:20 PST 2016,Mon Mar 07 08:51:04 PST 2016,Tue Mar 08 08:51:04 PST 2016,,,,44,0% (0/0),0% (0/0),0% (0/0),Wide_Awake_(Katy_Perry_song)-Release_and_reception,"<font color=""blue"">Question</font>: How many nominations did Perry receive for the film?<br/><font color=""blue"">Sentence(s)</font>: Perry received 3 nominations for this Video, which included Video of the Year in the 2012 MTV Video Music Awards.",How many award nominations did Perry receive for the movie?,,
3OKP4QVBP2X4E5I2N7YAYO0921LAGJ,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 08:30:50 PST 2016,1,BatchId:2299282;,180,86400,Mon Mar 14 09:30:50 PDT 2016,,,3TR2532VIPUG5PUUV3723GML8GD6JM,A182ZC63GBC4SB,Submitted,Mon Mar 07 08:43:21 PST 2016,Mon Mar 07 08:43:48 PST 2016,Tue Mar 08 08:43:48 PST 2016,,,,27,0% (0/0),0% (0/0),0% (0/0),Everybody_Talks-Music_video,"<font color=""blue"">Question</font>: Who was the lead singer in Everybody Talks?<br/><font color=""blue"">Sentence(s)</font>: Tyler (the lead singer) is the only one to escape, while the other band members are slaughtered by the zombies, offscreen, to the horror of the audience members at the drive-in.",Who is the vocalist in Everybody Talks?,,
33Q5P9PUSPMSY1A5XDIQPQ63DU0CZC,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 08:30:53 PST 2016,1,BatchId:2299282;,180,86400,Mon Mar 14 09:30:53 PDT 2016,,,3RANCT1ZVFHVPHMJ3TSOLYHO3XLUBQ,A182ZC63GBC4SB,Submitted,Mon Mar 07 08:40:18 PST 2016,Mon Mar 07 08:41:11 PST 2016,Tue Mar 08 08:41:11 PST 2016,,,,53,0% (0/0),0% (0/0),0% (0/0),Snorkeling-Variants_and_related_activities,"<font color=""blue"">Question</font>: What is difference between Free-diving and Scuba diving?<br/><font color=""blue"">Sentence(s)</font>: Free-diving: Any form of diving without breathing apparatus, but often referring to competitive apnea as a sport.</br>Scuba diving: A form of untethered diving using a self-contained portable breathing apparatus, frequently as a pastime.",How are Free-diving and Scuba diving different?,,
3URJ6VVYUPND4TJJ2P1RQUNB1DG4OP,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 08:30:45 PST 2016,1,BatchId:2299282;,180,86400,Mon Mar 14 09:30:45 PDT 2016,,,3K9FOBBF2HJU70OMX55WL6LZ7V9LNF,A182ZC63GBC4SB,Submitted,Mon Mar 07 08:51:38 PST 2016,Mon Mar 07 08:52:18 PST 2016,Tue Mar 08 08:52:18 PST 2016,,,,40,0% (0/0),0% (0/0),0% (0/0),Atomic_number-Abstract,"<font color=""blue"">Question</font>: After what year was the ""Z"" number known as a physical characteristic of atoms?<br/><font color=""blue"">Sentence(s)</font>: Only after 1915, with the suggestion and evidence that this ""Z"" number was also the nuclear charge and a physical characteristic of atoms, did the word (and its English equivalent ""atomic number"") come into common use in this context.","""Z"" was the number known as a physical characteristic of atoms after what year?",,
3KG2UQJ0MJO2BD65Z78RE8OB7VTNQB,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 08:30:54 PST 2016,1,BatchId:2299282;,180,86400,Mon Mar 14 09:30:54 PDT 2016,,,3Y54SXRO1LLVL3G03FJ9LSNA94MTUG,A182ZC63GBC4SB,Submitted,Mon Mar 07 08:41:48 PST 2016,Mon Mar 07 08:42:44 PST 2016,Tue Mar 08 08:42:44 PST 2016,,,,56,0% (0/0),0% (0/0),0% (0/0),Lebanon-Geography,"<font color=""blue"">Question</font>: How many regions is Lebanon divided into?<br/><font color=""blue"">Sentence(s)</font>: The border with the Israeli-occupied Golan Heights is disputed by Lebanon in a small area called Shebaa Farms.Lebanon is divided into four distinct physiographic regions: the coastal plain, the Lebanon mountain range, the Beqaa valley and the Anti-Lebanon mountains.The narrow and discontinuous coastal plain stretches from the Syrian border in the north where it widens to form the Akkar plain to Ras al-Naqoura at the border with Israel in the south.",How is Lebanon divided into regions?,,
