HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.paragraph_id,Input.candidates,Input.content,Answer.QuestionSentencesBox,Answer.QuestionTextBox,Approve,Reject
3VI0PC2ZAYK42V7TM03WN5K9U0SXOO,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 13:34:15 PST 2016,1,BatchId:2291255;,900,86400,Wed Mar 02 13:34:15 PST 2016,,,3SITXWYCNV9N6LGE8Y3B55GSWVLXBZ,A2LKGMMTO4DC4Z,Approved,Tue Mar 01 14:02:17 PST 2016,Tue Mar 01 14:03:10 PST 2016,Wed Mar 02 14:03:10 PST 2016,Tue Mar 01 14:57:34 PST 2016,,,53,100% (8/8),100% (8/8),100% (8/8),Rolling_in_the_Deep-Track_listing,"2, 4, 5, 6, 7, 9","Category: Music<br/>Title: Rolling in the Deep<br/>Section: Track listing<br/><br/>1. •&nbsp;&nbsp;&nbsp;&nbsp;Digital download<br/>2. •&nbsp;&nbsp;&nbsp;&nbsp;<strike><strike><strike>""Rolling in the Deep"" – 3:48</strike></strike></strike><br/>3. •&nbsp;&nbsp;&nbsp;&nbsp;Digital EP<br/>4. •&nbsp;&nbsp;&nbsp;&nbsp;<strike><strike><strike>""Rolling in the Deep"" – 3:48</strike></strike></strike><br/>5. •&nbsp;&nbsp;&nbsp;&nbsp;<strike>""Rolling in the Deep (Jamie xx Shuffle)"" – 4:17</strike><br/>6. •&nbsp;&nbsp;&nbsp;&nbsp;<strike>""Rolling in the Deep (Acapella)"" – 3:56</strike><br/>7. •&nbsp;&nbsp;&nbsp;&nbsp;<strike>""Rolling in the Deep (Avicii Remix)"" – 4:25</strike><br/>8. •&nbsp;&nbsp;&nbsp;&nbsp;CD single<br/>9. •&nbsp;&nbsp;&nbsp;&nbsp;<strike><strike><strike>""Rolling in the Deep"" – 3:48</strike></strike></strike><br/>10. •&nbsp;&nbsp;&nbsp;&nbsp;""If It Hadn't Been for Love"" (written by Mike Henderson and Chris Stapleton) – 3:09<br/>",10,"Who wrote ""If It Hadn't Been for Love""?",,
3Y3N5A7N4G952XCREGALEF2D167MY4,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 13:34:15 PST 2016,1,BatchId:2291255;,900,86400,Wed Mar 02 13:34:15 PST 2016,,,3TY7ZAOG5FKG2YEXBZRXVUC79IA0KS,A7BW5SCFKBUCE,Approved,Tue Mar 01 14:03:06 PST 2016,Tue Mar 01 14:15:31 PST 2016,Wed Mar 02 14:15:31 PST 2016,Tue Mar 01 14:57:35 PST 2016,,,745,100% (99/99),100% (99/99),100% (99/99),Gangnam_Style-Song,9,"Category: Music<br/>Title: Gangnam Style<br/>Section: Song<br/><br/>1. Year-end media picks.Song.<br/>2. ""Gangnam Style"" was ranked No.<br/>3. 25 on the ""Rolling Stone""s 50 best songs of 2012 list and No.<br/>4. 8 on ""SPIN""s 40 best songs of the year.<br/>5. The song also took the No.<br/>6. 8 spot on the 2012 ""Billboard"" 20 best K-Pop songs list by Jeff Benjamin and Jessica Oak, who commented ""song stands out not only for its slick, electronic production but also for its deeper critique on high-class society.""<br/>7. According to MTV's list of the 2012 best songs, the song was ranked No.<br/>8. 8 with MTV news staff James Montgomery's comment: ""'Gangnam' is either the track we, as a culture needed right now, or the track we, as a culture, deserved"".<br/>9. <strike>""TIME"" magazine chose it as the second best song of 2012 after Usher's ""Climax"", writing ""The YouTube meme, a good-natured, mind-bendingly catchy lampoon [...] turned into a global obsession"".</strike><br/>10. The song was one of the best songs of the year on ""The New York Times"" pop critics' list and ""E!<br/>11. Online""s No.<br/>12. 1 pick on the top 10 pop songs of 2012 list.<br/>13. Digital Spy ranked the song No.<br/>14. 20 among the 20 best singles of the year.<br/>15. It was voted the 12th best single of 2012 by ""The Village Voice""s 40th annual Pazz & Jop critics' poll.<br/>16. Music critic Robert Christgau placed ""Gangnam Style"" as the No.<br/>17. 2 single on his 2012 Dean's List.<br/>",3,Did it rank of Rolling Stones' 50 best songs of 2012?,,
3OWZNK3RYLPYEKOTUXUCWLI2ZDG2UW,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 13:34:15 PST 2016,1,BatchId:2291255;,900,86400,Wed Mar 02 13:34:15 PST 2016,,,3F1567XTNW5K9V05O0UNKRP9BTEQ96,A2LKGMMTO4DC4Z,Approved,Tue Mar 01 16:30:31 PST 2016,Tue Mar 01 16:32:12 PST 2016,Wed Mar 02 16:32:12 PST 2016,Wed Mar 02 08:06:18 PST 2016,,,101,100% (8/8),100% (8/8),100% (8/8),Let_It_Be-Concept,1,"Category: Music<br/>Title: Let It Be<br/>Section: Concept<br/><br/>1. <strike>History.Concept.By late 1968, more than two years after the Beatles gave up touring, Paul McCartney was eager for the group to perform live again.</strike><br/>2. The sessions for that year's ""The Beatles"" (commonly known as the ""White Album"") had seen a number of serious arguments and strained relations among the group.<br/>3. McCartney felt that the group's cohesiveness had been lost through years without playing live, and from using the studio not to record ensemble performances but to make increasingly complex recordings made up of parts played individually by each Beatle as overdubs rather than as a group.<br/>4. He believed that the best way to improve band relations and revive enthusiasm was to get the group back into rehearsal as quickly as possible (the ""White Album"" sessions having only been concluded in October 1968) and begin work on a new album that made little or no use of studio artifice or multiple overdubbing.<br/>5. This would allow the group to return to their roots by playing as a true ensemble, perhaps recording some or all of the new album during a one-off live concert or full concert tour.<br/>6. This idea mirrored the ""back to basics"" attitude of a number of rock musicians at this time in reaction against the psychedelic and progressive music dominant in the previous two years.<br/>7. McCartney believed that a return to live performance would reinstill the same sort of ensemble spirit and sense of unity that they had in their early years together.McCartney also decided to invite producer/engineer Glyn Johns to contribute to the recording.<br/>8. His proposed role was apparently not clearly defined, as McCartney also wished to retain the services of George Martin.<br/>9. As a result, Johns was not entirely sure whether he was supposed to be producing (or co-producing) the album or merely engineering it, with Martin having no clear idea of where he stood either.The other three Beatles were less enthusiastic about McCartney's proposals.<br/>10. They had just completed five months' work on their previous album and were skeptical about the prospects of returning to live performance.<br/>11. George Harrison in particular was very opposed to the idea of touring, having taken the strongest dislike out of any in the group due to the grueling tours of the Beatlemania era.<br/>12. However he had recently enjoyed a series of jam sessions with Bob Dylan and the Band in the US, rediscovering his liking for straightforward ensemble playing, and he was attracted to the idea of the ""back to basics"" approach.<br/>13. The same approach greatly appealed to John Lennon, who had grown increasingly wary of what he regarded as the excessive technical artifice used on their recordings since ""Revolver"" and had also made a recent return to no-frills ensemble playing in the shape of an appearance on ""The Rolling Stones Rock and Roll Circus"".<br/>14. In addition, all the group members had greatly enjoyed the recording of Lennon's song ""Happiness is a Warm Gun"" during the recent ""White Album"" sessions which, due to its multiple sections and myriad time signature changes, had required the Beatles to focus sharply and revive their ensemble playing skills to lay down a coherent basic rhythm track before any overdubbing could be applied.<br/>15. In the end, the group agreed to convene for rehearsals immediately following New Year's Day 1969 to begin work, even though no suitable conclusion or even firm direction for the new project had been agreed upon.<br/>",7,Which producer/engineer did McCartney invite to contribute to the recording?,,
3Z3R5YC0P3N3F1LGINJ9B8QPP3EFT2,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 13:34:15 PST 2016,1,BatchId:2291255;,900,86400,Wed Mar 02 13:34:15 PST 2016,,,3UOUJI6MTDE22KPK8PK6AV8GLGRUXC,A2I6ZS386UJVJE,Approved,Tue Mar 01 13:52:31 PST 2016,Tue Mar 01 13:55:24 PST 2016,Wed Mar 02 13:55:24 PST 2016,Tue Mar 01 14:57:36 PST 2016,,,173,100% (5/5),100% (5/5),100% (5/5),Hey_Jude-Single_release,15,"Category: Music<br/>Title: Hey Jude<br/>Section: Single release<br/><br/>1. <br/>2. ""Hey Jude"" was released on 26 August 1968 in the United States and 30 August in the United Kingdom, backed with ""Revolution"" on the B-side of a 7"" single.<br/>3. The single was the debut release of the Beatles' record label Apple Records; in the US, it was also the first Beatles' single to be issued in a company sleeve rather than a picture sleeve.<br/>4. Even though ""Hey Jude"" was recorded during the sessions for the album ""The Beatles"", also known as the White Album, it was always intended as a single and not an album track, although it would eventually make its LP debut two years later as the title cut on the compilation album originally titled ""The Beatles Again"".<br/>5. Lennon wanted ""Revolution"" to be the A-side of the single, but the other Beatles did not agree.<br/>6. In his 1970 interview with ""Rolling Stone"", he said ""Hey Jude"" was worthy of an A-side, ""but we could have had both.""<br/>7. Ten years later in 1980, he told ""Playboy"" he still disagreed with the decision.<br/>8. ""Hey Jude"" began its sixteen-week run on the British charts on 7 September 1968, claiming the top spot a week later.<br/>9. It only lasted two weeks on top before being knocked off by another single from Apple, Mary Hopkin's ""Those Were the Days"" (a song which, incidentally, if not penned was actually produced by McCartney).<br/>10. The single was certified gold by the Recording Industry Association of America on 13 September; that same week ""NME"" reported that two million copies of the single had been sold.<br/>11. The song entered the US charts on 14 September 1968, where it stayed for nineteen weeks.<br/>12. Two weeks later, ""Hey Jude"" was number one in the charts and held that position for nine weeks, the longest time spent by a Beatles' single at number one, as well as being the longest-playing single to reach number one.<br/>13. The song was the 16th number one hit for the band in the US, tying Elvis Presley's record at the time for most number one songs there.<br/>14. ""Hey Jude"" clocked in at 7:11.<br/>15. <strike>The only other chart-topping song worldwide in the 1960s that ran over seven minutes was Richard Harris' ""MacArthur Park"".</strike><br/>16. In the UK, where ""MacArthur Park"" did not top the chart, ""Hey Jude"" remained the longest number-one hit for nearly a quarter of a century, until it was surpassed in 1993 by Meat Loaf's ""I'd Do Anything for Love (But I Won't Do That)"", which ran 7:58 as a single.On 30 November 1968, ""NME"" reported that sales had reached nearly six million copies worldwide.<br/>17. ""Hey Jude"" became the biggest-selling debut release for a record label ever, selling an estimated eight million copies worldwide and topping the charts in eleven countries.<br/>18. ""Hey Jude"" was the top Billboard Hot 100 single for 1968, according to year-end charts.<br/>19. Less than three weeks after its release, the record was certified gold for sales of one million copies.<br/>20. In 1999, it was certified 4x platinum, representing four million units shipped.<br/>",11,"How long did the Beatles single ""Hey Jude'' stay in the US charts?",,
3BO3NEOQM0HIAWOXDVYDJ0DPH6LAI3,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 13:34:15 PST 2016,1,BatchId:2291255;,900,86400,Wed Mar 02 13:34:15 PST 2016,,,3TU5ZICBRD1KVQHVJ8O9KVUYRMEQ8X,A2LKGMMTO4DC4Z,Approved,Tue Mar 01 14:00:50 PST 2016,Tue Mar 01 14:02:17 PST 2016,Wed Mar 02 14:02:17 PST 2016,Tue Mar 01 14:57:17 PST 2016,,,87,100% (8/8),100% (8/8),100% (8/8),I_Want_to_Hold_Your_Hand-Parodies_and_sampling,3,"Category: Music<br/>Title: I Want to Hold Your Hand<br/>Section: Parodies and sampling<br/><br/>1. •&nbsp;&nbsp;&nbsp;&nbsp; Neil Innes' The Rutles also pastiched the song as ""Hold My Hand"" in 1978.<br/>2. •&nbsp;&nbsp;&nbsp;&nbsp; For the 2006 album ""Love"", George Martin and his son, Giles, melded the original studio recording with a live performance at the Hollywood Bowl, complete with screaming hordes of teenage girls.<br/>3. •&nbsp;&nbsp;&nbsp;&nbsp;<strike> Beatallica, a parody of both the Beatles and Metallica, recorded a parody titled ""I Want To Choke Your Band"".</strike><br/>4. •&nbsp;&nbsp;&nbsp;&nbsp; In Disneyland's original ""Star Tours"" attraction, a maintenance droid listens to a song called ""I Want to Weld Your Hand.<br/>5. ""<br/>",4,"Where can you hear ""I Want to Weld Your Hand""?",,
3QXFBUZ4ZKGOTEW0TCF1YPC39WKGUS,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 13:34:15 PST 2016,1,BatchId:2291255;,900,86400,Wed Mar 02 13:34:15 PST 2016,,,33M4IA01QG1AMSX34VP15KLWEHMRX4,A3AEFCFAVPNFOH,Approved,Tue Mar 01 13:58:02 PST 2016,Tue Mar 01 13:58:38 PST 2016,Wed Mar 02 13:58:38 PST 2016,Tue Mar 01 14:57:31 PST 2016,,,36,100% (23/23),100% (23/23),100% (23/23),Every_Breath_You_Take-Music_video,3,"Category: Music<br/>Title: Every Breath You Take<br/>Section: Music video<br/><br/>1. The song had a music video (directed by duo Godley & Creme) that was praised for its black-and-white cinematography.<br/>2. Both MTV (1999) and VH1 (2002) named it as one of the best music videos ever, placing it 16th and 33rd in their respective top 100 lists.<br/>3. <strike>Daniel Pearl won the first MTV cinematography award for his work on the video.</strike><br/>",1,"Who was the director(s) for the music video ""Every Breath You Take""?",,
3B286OTISEHE5783VDJDV1SPULAAJF,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 13:34:15 PST 2016,1,BatchId:2291255;,900,86400,Wed Mar 02 13:34:15 PST 2016,,,3DEL4X4EL6LJJT9PIQHVDGETH44YXG,A2L2ZXRHK3SNOP,Approved,Tue Mar 01 14:04:06 PST 2016,Tue Mar 01 14:05:33 PST 2016,Wed Mar 02 14:05:33 PST 2016,Tue Mar 01 14:57:16 PST 2016,,,87,100% (38/38),100% (38/38),100% (38/38),Free_Bird-Cover_versions,"1, 3, 2","Category: Music<br/>Title: Free Bird<br/>Section: Cover versions<br/><br/>1. <strike>The American dance-pop group Will to Power created a medley of this song and the 1976 Peter Frampton song ""Baby, I Love Your Way"" in 1988.</strike><br/>2. <strike>Titled ""Baby, I Love Your Way/Freebird Medley"", it spent one week at No.</strike><br/>3. <strike>1 on the ""Billboard"" Hot 100 chart.</strike><br/>4. It was also covered by Wynonna Judd on the 1994 tribute album ""Skynyrd Frynds"".<br/>5. The song was also covered by Bronx Casket Co. on their 2005 album ""Hellectric"" in Goth style.<br/>6. American Jam band Phish often performs an A cappella version of the song live.<br/>",4,"When did Wynonna Judd cover ""Free Bird""?",,
3UEBBGULPFOIFE05IS9JG4CR8HLFUT,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 13:34:16 PST 2016,1,BatchId:2291255;,900,86400,Wed Mar 02 13:34:16 PST 2016,,,3CTOC39K37QZ9P8ZEDCU9UMH27G7J0,A2L2ZXRHK3SNOP,Approved,Tue Mar 01 13:59:33 PST 2016,Tue Mar 01 14:00:01 PST 2016,Wed Mar 02 14:00:01 PST 2016,Tue Mar 01 14:57:33 PST 2016,,,28,100% (38/38),100% (38/38),100% (38/38),Counting_Stars-Track_listing,3,"Category: Music<br/>Title: Counting Stars<br/>Section: Track listing<br/><br/>1. •&nbsp;&nbsp;&nbsp;&nbsp;;CD single<br/>2. •&nbsp;&nbsp;&nbsp;&nbsp; ""Counting Stars"" – 4:17<br/>3. •&nbsp;&nbsp;&nbsp;&nbsp;<strike> ""Counting Stars"" (Lovelife remix) – 3:55</strike><br/>",2,"How long is ""Counting Stars""?",,
311HQEI8RSGMMKF96WAF94EPCBH7Z6,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 13:34:16 PST 2016,1,BatchId:2291255;,900,86400,Wed Mar 02 13:34:16 PST 2016,,,30H4UDGLT2IEG3IKDWJ3P85J6VFPMR,A2I7IBMDE3SFTI,Approved,Tue Mar 01 13:51:29 PST 2016,Tue Mar 01 13:52:54 PST 2016,Wed Mar 02 13:52:54 PST 2016,Tue Mar 01 14:57:10 PST 2016,,,85,100% (58/58),100% (58/58),100% (58/58),How_to_Save_a_Life-Track_listing,2,"Category: Music<br/>Title: How to Save a Life<br/>Section: Track listing<br/><br/>1. In later editions, an extra track was added:<br/>2. •&nbsp;&nbsp;&nbsp;&nbsp;<strike><li value=13>""Unsaid"" – 3:05</strike><br/>3. •&nbsp;&nbsp;&nbsp;&nbsp;Bonus CD:<br/>4. •&nbsp;&nbsp;&nbsp;&nbsp;<li value=14>""Over My Head (Cable Car)"" (Live at the Gothic (05.20.2005))<br/>5. •&nbsp;&nbsp;&nbsp;&nbsp;""How to Save a Life"" (Live for MTV.com & VH1.com (07.14.2005))<br/>6. •&nbsp;&nbsp;&nbsp;&nbsp;""Look After You"" (Live at Red Rocks (08.12.2005))<br/>7. •&nbsp;&nbsp;&nbsp;&nbsp;""Heaven Forbid"" (Live at Red Rocks (08.12.2005))<br/>8. •&nbsp;&nbsp;&nbsp;&nbsp;Bonus DVD:<br/>9. •&nbsp;&nbsp;&nbsp;&nbsp;How to Save a Life (The Story)<br/>10. •&nbsp;&nbsp;&nbsp;&nbsp;On The Road 2006 (Documentary)<br/>11. •&nbsp;&nbsp;&nbsp;&nbsp;""Over My Head (Cable Car)"" (Music Video)<br/>12. •&nbsp;&nbsp;&nbsp;&nbsp;""Over My Head (Cable Car)"" (Making the video)<br/>",1,How many extra tracks are included on the Bonus CD of How to Save a Life?,,
3F6045TU7DOBUCLPHVE0AC32SYF993,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 13:34:16 PST 2016,1,BatchId:2291255;,900,86400,Wed Mar 02 13:34:16 PST 2016,,,3R8YZBNQ9HIGVCCC93W36VY3G29Q7B,A7BW5SCFKBUCE,Approved,Tue Mar 01 14:12:16 PST 2016,Tue Mar 01 14:26:53 PST 2016,Wed Mar 02 14:26:53 PST 2016,Tue Mar 01 14:57:18 PST 2016,,,877,100% (99/99),100% (99/99),100% (99/99),Chasing_Cars-Critical,1,"Category: Music<br/>Title: Chasing Cars<br/>Section: Critical<br/><br/>1. <strike>Reception.Critical.The song was nominated for a 2007 Grammy Award for Best Rock Song, as well as for a 2007 BRIT Award for Best British Single.In 2007, ""Chasing Cars"" was voted number 1 in the Top 500 Songs: The Words Behind the Music, on Bristol's GWR FM (and other stations in The One Network).Yahoo!</strike><br/>2. Music's Adam Webb, however had mixed feelings for the single, when he awarded it 5 stars out of 10, saying it was a ""misguided attempt to recreate its breast-beating slo-motion scarf-waving formula.""<br/>3. Further, he made comparisons of the song to Hollywood soundtracks, which in his words are ""about as subtle as a rhino and too overt to be truly affecting.<br/>4. """"Billboard"" magazine's Sven Phillip found the song the only one on the album ""not to be missed"".<br/>5. He called it a ""catchy, colossal ballad that succeeds without any fireworks"".UK music licensing body PPL announced in December 2009 that ""Chasing Cars"" was the most played song of the decade.<br/>",5,When was it announced as the most played song of the decade?,,
