paragraph_id,content
Somebody_That_I_Used_to_Know-Abstract,"<font color=""blue"">Question</font>: Which song provided the inspiration to write ""Somebody That I Used To Know""?<br/><font color=""blue"">Sentence(s)</font>: It samples Luiz Bonfá's song ""Seville"" from his 1967 album ""Luiz Bonfa Plays Great Songs""."
Somebody_That_I_Used_to_Know-Music_video,"<font color=""blue"">Question</font>: When did the video get nominated for Video of the Year?<br/><font color=""blue"">Sentence(s)</font>: The video was nominated for Video of the Year and Best Editing in a Video at the 2012 MTV Video Music Awards."
Call_Me_Maybe-Abstract,"<font color=""blue"">Question</font>: Who wrote Call Me Maybe?<br/><font color=""blue"">Sentence(s)</font>: The song was written by Jepsen and Tavish Crowe as a folk song, but its genre was modified to pop following the production by Josh Ramsay."
Call_Me_Maybe-Composition,"<font color=""blue"">Question</font>: What is the song's vocal range?<br/><font color=""blue"">Sentence(s)</font>: Jepsen's vocals span from G3 to C5, and the song follows a key progression of Cmaj7–G/D–Cmaj7–G/D."
We_Are_Young-Production,"<font color=""blue"">Question</font>: Who provided guest vocals on ""We Are Young"" because of his/her friendship with Bhasker?<br/><font color=""blue"">Sentence(s)</font>: The band invited Janelle Monáe to provide guest vocals on ""We Are Young"" through her friendship with Bhasker."
We_Are_Young-Critical_reception,"<font color=""blue"">Question</font>: What rating did Luke Lewis of ""NME"" give the song ""We Are Young""?<br/><font color=""blue"">Sentence(s)</font>: However Luke Lewis of ""NME"" gave a highly negative review of the song, giving a 5 out of 10 stating: ""It's not clear what compelled Janelle Monáe to work with these New York-based Panic!"
Payphone_(song)-Abstract,"<font color=""blue"">Question</font>: Who wrote the song Payphone?<br/><font color=""blue"">Sentence(s)</font>: The song was written by Adam Levine, Benny Blanco, Ammar Malik, Robopop, Shellback and Khalifa and produced by Blanco and Shellback."
Payphone_(song)-Background,"<font color=""blue"">Question</font>: Who wrote the song?<br/><font color=""blue"">Sentence(s)</font>: The song was written by Maroon 5's lead singer Adam Levine, along with Ammar Malik, Robopop, Benny Blanco, Shellback, and Wiz Khalifa, while production was helmed by Blanco and Shellback."
Lights_(musician)-2006–07:_Musical_beginnings,"<font color=""blue"">Question</font>: What tv series did Lights compose for?<br/><font color=""blue"">Sentence(s)</font>: Lights was among the songwriters who composed music for the television series ""Instant Star""."
Lights_(musician)-Personal_life,"<font color=""blue"">Question</font>: When did Lights get engaged?<br/><font color=""blue"">Sentence(s)</font>: On August 30, 2011, Lights became engaged to Bokan."
