paragraph_id,content
Rolling_in_the_Deep-Media_usage,"<font color=""blue"">Question</font>: How many TV series have featured the song?<br/><font color=""blue"">Sentence(s)</font>: It has since been featured in several television series such as in ""90210"" third season, in ""Doctor Who"" sixth series premiere, in ""One Tree Hill"" eighth season, in ""Gossip Girl"" fourth season finale, and in ""The Secret Life of the American Teenager"" fourth season."
Gangnam_Style-Music_industry,"<font color=""blue"">Question</font>: How did Billboard's ranking methodology change after the success of Gangam Style?<br/><font color=""blue"">Sentence(s)</font>: The ""Harvard Business Review"" published an article written by Kevin Evers, who explained how ""Gangnam Style"" had changed Billboard's ranking methodology of its music charts.</br>Instead of relying solely on radio plays and paid purchases, Billboard started to place a heavier emphasis on digital sales and YouTube views."
Let_It_Be-Personnel,"<font color=""blue"">Question</font>: Who provided the backing vocals for ""Let It Be""?<br/><font color=""blue"">Sentence(s)</font>: Linda McCartney – backing vocals on ""Let It Be"""
Hey_Jude-Critical_reception,"<font color=""blue"">Question</font>: Where did Rolling Stone place ""Hey Jude"" on it's list of best Beatles songs?<br/><font color=""blue"">Sentence(s)</font>: Also in 2010, ""Rolling Stone"" ranked the song at number seven on the Beatles' 100 Greatest Songs."
I_Want_to_Hold_Your_Hand-Background_and_composition,"<font color=""blue"">Question</font>: Who encouraged Lennon and McCartney to write a song?<br/><font color=""blue"">Sentence(s)</font>: Although it is said that Brian Epstein had encouraged Lennon and McCartney to write a song to appeal to American listeners this has been denied by George Martin."
Every_Breath_You_Take-Track_listing,"<font color=""blue"">Question</font>: How long is the track ""Murder By Numbers""?<br/><font color=""blue"">Sentence(s)</font>:  ""Murder By Numbers"" – 4:31"
Free_Bird-Legacy,"<font color=""blue"">Question</font>: When was Lynrd Skynyrd's first live album released?<br/><font color=""blue"">Sentence(s)</font>: This can be traced back to Skynyrd's first live album, 1976's ""One More from the Road""."
How_to_Save_a_Life-Singles,"<font color=""blue"">Question</font>: What was the name of the band's third single?<br/><font color=""blue"">Sentence(s)</font>: ""Look After You"" was released as the band's third single; the song peaked at position 59 in the Billboard Hot 100, becoming the band's first single to miss the Top 40."
Chasing_Cars-Music_video,"<font color=""blue"">Question</font>: Who is the actor in the video?<br/><font color=""blue"">Sentence(s)</font>: There are two music videos: one for UK, one for the US.In the music video for UK, Gary Lightbody lies on open ground as cameras film him from different angles."
Viva_la_Vida-Critical_response,"<font color=""blue"">Question</font>: At what year did ""Viva la Vida"" won Grammy Award?<br/><font color=""blue"">Sentence(s)</font>: """"Viva la Vida"" was nominated for ""Record of the Year"", and won ""Song of the Year"", and ""Best Pop Performance by a Duo or a Group"" at the 2009 Grammy Awards."
