paragraph_id,content
Somebody_That_I_Used_to_Know-Abstract,"<font color=""blue"">Question</font>: When did the movie premier?<br/><font color=""blue"">Sentence(s)</font>: The video premiered on 30 July 2011 and shows Gotye and Kimbra naked against a white backdrop, and while they sing, a pattern of paint gradually covers his skin and the backdrop via stop motion animation."
Somebody_That_I_Used_to_Know-Music_video,"<font color=""blue"">Question</font>: In the video for Somebody That I Used to Know was nudity shown?<br/><font color=""blue"">Sentence(s)</font>: In the director's cut, it features nudity."
Call_Me_Maybe-Abstract,"<font color=""blue"">Question</font>: How many grammy's was ""Call me maybe"" nominated for?<br/><font color=""blue"">Sentence(s)</font>: ""Call Me Maybe"" was nominated for two Grammy Awards, for Song of the Year and Best Pop Solo Performance at the 55th Annual ceremony, but lost to ""We Are Young"" by Fun and the live performance of ""Set Fire to the Rain"" by Adele, respectively."
Call_Me_Maybe-Composition,"<font color=""blue"">Question</font>: The song Call Me Maybe has what kind of tempo?<br/><font color=""blue"">Sentence(s)</font>: ""According to Musicnotes.com, ""Call Me Maybe"" is written in the key of G major with a moderate tempo of 120 beats per minute."
We_Are_Young-Production,"<font color=""blue"">Question</font>: Who's debut album is ""Aim and Ignite""?<br/><font color=""blue"">Sentence(s)</font>: After the poor commercial performance of their debut album, ""Aim and Ignite"", Fun decided to put Jeff Bhasker as producer for their second studio effort."
We_Are_Young-Critical_reception,"<font color=""blue"">Question</font>: What year did the song win a Grammy?<br/><font color=""blue"">Sentence(s)</font>: ""The song won the Grammy Award for Song of the Year at the 2013 Grammy Awards, where it was also a nominee for Record of the Year and Best Pop Duo/Group Performance."
Payphone_(song)-Abstract,"<font color=""blue"">Question</font>: What was the world's 5th-best selling single of 2012?<br/><font color=""blue"">Sentence(s)</font>: ""Payphone"" was the world's fifth best-selling single of 2012 with 9.5 million copies sold."
Payphone_(song)-Background,"<font color=""blue"">Question</font>: Where was the song Payphone recorded?<br/><font color=""blue"">Sentence(s)</font>: ""Payphone"" was recorded at Conway Studios in Los Angeles by Noah ""Mailbox"" Pasovoy and Shellback, while Eric Eylands served as the assistant engineer."
Lights_(musician)-2006–07:_Musical_beginnings,"<font color=""blue"">Question</font>: Who is Lights' manager?<br/><font color=""blue"">Sentence(s)</font>: However, Sony never confirmed with the deal, and it never happened.In 2007, she was discovered by Jian Ghomeshi."
Lights_(musician)-Personal_life,"<font color=""blue"">Question</font>: How did Beau Bokan propose to his future wife named Lights?<br/><font color=""blue"">Sentence(s)</font>: As his proposal, Bokan made fortune cookies for Lights, with one containing the fortune of ""Will You Marry Me?"""
Glad_You_Came-Background,"<font color=""blue"">Question</font>: Glad you came was writtem by who?<br/><font color=""blue"">Sentence(s)</font>: The song was written and produced by Steve Mac."
Glad_You_Came-Music_video,"<font color=""blue"">Question</font>: How many views has the music video, ""Glad You Came"" received on YouTube?<br/><font color=""blue"">Sentence(s)</font>: The video has achieved over 74 million views on YouTube, becoming their most watched video on the site."
