paragraph_id,content
Rolling_in_the_Deep-Commercial_performance,"<font color=""blue"">Question</font>: How many weeks did Adele's song ""Rolling in the Deep"" spend in the Billboard top 10?<br/><font color=""blue"">Sentence(s)</font>: The song spent the first ten weeks of its chart run in the top ten.Upon its American release, ""Rolling in the Deep"" became Adele's second single to chart in the country."
Gangnam_Style-Miscellaneous,"<font color=""blue"">Question</font>: CNN readers ranked it and which number for the best song of 2012?<br/><font color=""blue"">Sentence(s)</font>: CNN readers picked ""Gangnam Style"" as the eighth best song of 2012."
Let_It_Be-Abstract,"<font color=""blue"">Question</font>: Which band released ""Let It Be""?<br/><font color=""blue"">Sentence(s)</font>: Let It Be is the twelfth and final studio album released by the English rock band the Beatles."
Hey_Jude-Personnel,"<font color=""blue"">Question</font>: Who was the backing vocal and acoustic guitar?<br/><font color=""blue"">Sentence(s)</font>: John Lennon – backing vocal, acoustic guitar"
I_Want_to_Hold_Your_Hand-In_the_studio,"<font color=""blue"">Question</font>: Which songs were recorded in German?<br/><font color=""blue"">Sentence(s)</font>: ""I Want to Hold Your Hand"" was one of two Beatles songs (along with ""She Loves You"" as """"Sie liebt dich"""") to be later recorded in German, entitled ""Komm, gib mir deine Hand""."
Every_Breath_You_Take-Legacy,"<font color=""blue"">Question</font>: When did Vh1 rank the song as the #2 best break up song?<br/><font color=""blue"">Sentence(s)</font>: In 2003, VH1 ranked the song the #2 greatest Break-up song of all time."
Free_Bird-Origins,"<font color=""blue"">Question</font>: Who became their keyboardist?<br/><font color=""blue"">Sentence(s)</font>: Soon afterward, the band learned piano-playing roadie Billy Powell had written an intro to the song; upon hearing it, they included it as the finishing touch and had him formally join as their keyboardist."
Counting_Stars-Credits_and_personnel,"<font color=""blue"">Question</font>: Who was in charge of engineering on the album ""Counting Stars?""<br/><font color=""blue"">Sentence(s)</font>: Engineering – Smith Carlson"
How_to_Save_a_Life-Abstract,"<font color=""blue"">Question</font>: Which release was the debut album by American alternative rock group The Fray?<br/><font color=""blue"">Sentence(s)</font>: How to Save a Life is the debut album by American alternative rock group The Fray."
Chasing_Cars-Covers_and_samples,"<font color=""blue"">Question</font>: When did the song ""Chasing Cars"" air on the trance radio show ""A State of Trance?""<br/><font color=""blue"">Sentence(s)</font>: It aired on the trance radio show ""A State of Trance"" episode 262 on 17 August 2006."
Viva_la_Vida-In_popular_culture,"<font color=""blue"">Question</font>: When did the song ""Viva la Vida"" become available for download in the game Rock Band 3?<br/><font color=""blue"">Sentence(s)</font>:  Coldplay performed the song at the Closing Ceremony of London 2012 (the ceremony to mark the end of the Paralympic Games, and so also the end of the summer of the London 2012 Olympic and Paralympics)."
Love_the_Way_You_Lie-Synopsis,"<font color=""blue"">Question</font>: Who raps in an open field?<br/><font color=""blue"">Sentence(s)</font>: Eminem begins to rap in an open field."
All_I_Want_for_Christmas_Is_You-Live_performances,"<font color=""blue"">Question</font>: When did Mariah Carey perform ""All I Want for Christmas Is You"" for the Walt Disney World Christmas Day Parade?<br/><font color=""blue"">Sentence(s)</font>: Additionally, Carey performed the song at the 2004 Walt Disney World Christmas Day Parade, which aired on ABC."
Jingle_Bell_Rock-Chart_performance,"<font color=""blue"">Question</font>: What did the original version chart at?<br/><font color=""blue"">Sentence(s)</font>: Helms's original version charted at No.</br>60.It also crossed to the pop charts, reaching #11 in the Cashbox Top 60, week ending January 11, 1958."
"Have_Yourself_a_Merry_Little_Christmas-""Meet_Me_in_St._Louis""","<font color=""blue"">Question</font>: Where was the song written?<br/><font color=""blue"">Sentence(s)</font>: The song was written while Martin was vacationing in a house in the neighborhood of Southside in Birmingham, Alabama, that his father Hugh Martin designed for his mother as a honeymoon cottage."
Prison_Break-Home_media,"<font color=""blue"">Question</font>: Which television show was first to be released on Blu-ray by Fox?<br/><font color=""blue"">Sentence(s)</font>: The release date was later announced to be November 13, 2007 and ""Prison Break"" became the first television show to be released on Blu-ray Disc by Fox."
Friends-Awards,"<font color=""blue"">Question</font>: When did the series win an Emmy Award?<br/><font color=""blue"">Sentence(s)</font>: The series won the 2002 Emmy Award for Outstanding Comedy Series, with nominations in 1995, 1996, 1999, 2000 and 2003."
The_Big_Bang_Theory-U.S._standard_ratings,"<font color=""blue"">Question</font>: How many viewers did ""The Big Bang Theory"" draw with their season three premier?<br/><font color=""blue"">Sentence(s)</font>: When the third season premiered on September 21, 2009, ""The Big Bang Theory"" ranked as CBS's highest-rated show of that evening in the adults 18–49 demographic (4.6/10) along with a then-series-high 12.83 million viewers."
Teen_Wolf-Box_office,"<font color=""blue"">Question</font>: What number did Teen wolf debut at?<br/><font color=""blue"">Sentence(s)</font>: Release.Box office.Released on August 23, 1985, ""Teen Wolf"" debuted at #2 in its opening weekend, behind ""Back to the Future"" (also starring Michael J."
Breaking_Bad-Pink_teddy_bear,"<font color=""blue"">Question</font>: Where in Jane's bedroom can the damaged teddy bear be seen?<br/><font color=""blue"">Sentence(s)</font>: The teddy bear can also be spotted on the mural on Jane's bedroom wall during the final episode of the second season, further connecting the crash to Jane."
The_Vampire_Diaries-Home_media_releases,"<font color=""blue"">Question</font>: When was the DVD released in region 2?><br/><font color=""blue"">Sentence(s)</font>: It was released on DVD in Region 2 on August 23, 2010."
Doctor_Who-Official_websites,"<font color=""blue"">Question</font>: Does BBC have a Doctor Who website?<br/><font color=""blue"">Sentence(s)</font>:  BBC America ""Doctor Who"" website"
Orange_Is_the_New_Black-Main_cast,"<font color=""blue"">Question</font>: Who was the master chef of the prison?<br/><font color=""blue"">Sentence(s)</font>:  Kate Mulgrew as Galina ""Red"" Reznikov: Red runs the prison's kitchen as its Master Chef."
Nurse_Jackie-Critical_reception,"<font color=""blue"">Question</font>: Who ranked ""Tiny Bubbles"" fifth on his ""Top 10 Episodes of 2009"" list?<br/><font color=""blue"">Sentence(s)</font>: James Poniewozik from ""Time"" magazine ranked Nurse Jackie's episode ""Tiny Bubbles"" (106) as 5th on his ""Top 10 Episodes of 2009"" list."
Parks_and_Recreation-DVD_and_streaming_video,"<font color=""blue"">Question</font>: When was the frist parks and recreation released on dvd<br/><font color=""blue"">Sentence(s)</font>: The first season of ""Parks and Recreation"" was released on DVD in region 1 on September 8, 2009."
Gossip_Girl-Development,"<font color=""blue"">Question</font>: When was Schwartz working on the polot<br/><font color=""blue"">Sentence(s)</font>: As of October 2006, Schwartz was working on the pilot."
Gilmore_Girls-Awards_and_nominations,"<font color=""blue"">Question</font>: Did Gilmore girls recieve an AFIA award?<br/><font color=""blue"">Sentence(s)</font>: ""Gilmore Girls"" received an American Film Institute Award and two Viewers For Quality Television Awards, and was named New Program of the Year by the Television Critics Association."
The_Good_Wife-Technology_and_the_Internet,"<font color=""blue"">Question</font>: Was THe Good Wife the first show to have Bitcon in it?<br/><font color=""blue"">Sentence(s)</font>: ""The Good Wife"" was the first TV show to feature Bitcoin, the virtual internet currency, with an episode featuring Bitcoin first broadcast in January 2012."
Family_Guy-Early_history_and_cancellation,"<font color=""blue"">Question</font>: How many viewers did ""Family Guy"" premier to?<br/><font color=""blue"">Sentence(s)</font>: </br>""Family Guy"" officially premiered after Fox's broadcast of Super Bowl XXXIII on January 31, 1999, with ""Death Has a Shadow""."
South_Park-Merchandising,"<font color=""blue"">Question</font>: When was the ""South Park"" pinball machine released?<br/><font color=""blue"">Sentence(s)</font>: Merchandising related to the show is an industry which generates several million dollars a year."
Stone_Mountain-Attractions,"<font color=""blue"">Question</font>: How large is the projection?<br/><font color=""blue"">Sentence(s)</font>: The projection is 5 times larger than an IMAX screen and taller than the Statue Of Liberty.The Skyride is a Swiss-built cable car to the summit of the mountain which passes by the carving on the way up.The Riverboat offers a scenic cruise aboard a reproduction Mississippi riverboat on 363 acre (147 ha) Stone Mountain Lake."
Niagara_Falls-Geology,"<font color=""blue"">Question</font>: When was the Wisconsin glaciation?<br/><font color=""blue"">Sentence(s)</font>: The features that became Niagara Falls were created by the Wisconsin glaciation about 10,000 years ago."
Leaning_Tower_of_Pisa-Builders,"<font color=""blue"">Question</font>: Who completed the belfry tower?<br/><font color=""blue"">Sentence(s)</font>: He could be the same Giovanni Pisano who completed the belfry tower."
Eiffel_Tower-Restaurants,"<font color=""blue"">Question</font>: Who runs the restraunt?<br/><font color=""blue"">Sentence(s)</font>: It is run by the multi-Michelin star chef Alain Ducasse."
Machu_Picchu-Roads_and_transportation,"<font color=""blue"">Question</font>: Do people still walk the Inca Trail?<br/><font color=""blue"">Sentence(s)</font>: Today, thousands of tourists walk the Inca Trail to visit Machu Picchu each year."
Disneyland-Tickets,"<font color=""blue"">Question</font>: What year did Disneyland open?<br/><font color=""blue"">Sentence(s)</font>: From Disneyland's opening day until 1982, the price of the attractions was in addition to the price of park admission."
Great_Wall_of_China-Ming_era,"<font color=""blue"">Question</font>: When was the great wall concept revived<br/><font color=""blue"">Sentence(s)</font>: The Great Wall concept was revived again during the Ming Dynasty in the 14th century, and following the Ming army's defeat by the Oirats in the Battle of Tumu."
Victoria_Falls-Pre-colonial_history,"<font color=""blue"">Question</font>: Who is the British artist who created some of the earliest painting of Victoria Falls?<br/><font color=""blue"">Sentence(s)</font>: Other early European visitors included Portuguese explorer Serpa Pinto, Czech explorer Emil Holub, who made the first detailed plan of the falls and its surroundings in 1875 (published in 1880), and British artist Thomas Baines, who executed some of the earliest paintings of the falls."
Yellowstone_National_Park-Legal_jurisdiction,"<font color=""blue"">Question</font>: Who argued that it may be impossible to impanel a jury in compliance with the Vicinage Clause of the Sixth Amendment for a crime committed solely in the unpopulated Idaho portion of Yellowstone National Park?<br/><font color=""blue"">Sentence(s)</font>: Law professor Brian C. Kalt has argued that it may be impossible to impanel a jury in compliance with the Vicinage Clause of the Sixth Amendment for a crime committed solely in the unpopulated Idaho portion of the park (and that it would be difficult to do so for a crime committed solely in the lightly populated Montana portion)."
Yosemite_National_Park-Ahwahneechee_and_the_Mariposa_Wars,"<font color=""blue"">Question</font>: When did Jim Savage lead the Mariposa Battalion in to the west?<br/><font color=""blue"">Sentence(s)</font>: In 1851 as part of the Mariposa Wars intended to suppress Native American resistance, United States Army Major Jim Savage led the Mariposa Battalion into the west end of Yosemite Valley."
Grand_Canyon-Grand_Canyon_tourism,"<font color=""blue"">Question</font>: Which state visits Grand Canyon National park most often?<br/><font color=""blue"">Sentence(s)</font>:  tourism.Grand Canyon National Park is one of the world’s premier natural attractions, attracting about five million visitors per year.</br>Overall, 83% were from the United States: California (12.2%), Arizona (8.9%), Texas (4.8%), Florida (3.4%) and New York (3.2%) represented the top domestic visitors."
Mount_Rushmore-Controversy,"<font color=""blue"">Question</font>: When was the first Native American superintendent of the park appointed?<br/><font color=""blue"">Sentence(s)</font>: ""In 2004, the first Native American superintendent of the park was appointed."
Space_Needle-Labor_dispute,"<font color=""blue"">Question</font>: who were the workers working with<br/><font color=""blue"">Sentence(s)</font>: The workers, working with the union, Unite Here Local 8, have entered into contract negotiations with the owners."
Statue_of_Liberty-Closures_and_reopening_(2001–present),"<font color=""blue"">Question</font>: Who was the superintendent of the Statue of Liberty National Monument?<br/><font color=""blue"">Sentence(s)</font>: The superintendent of Statue of Liberty National Monument, David Luchsinger, whose home on the island was severely damaged, stated that it would be ""optimistically ... months"" before the island was reopened to the public."
SeaWorld-SeaWorld_Orlando,"<font color=""blue"">Question</font>: When did Orlando SeaWorld open?<br/><font color=""blue"">Sentence(s)</font>:  Orlando.SeaWorld Orlando opened on December 15, 1973, and had crowds topping 5,400 on its opening day."
Hersheypark-Rhineland,"<font color=""blue"">Question</font>: What tower is the Sky Ride near?<br/><font color=""blue"">Sentence(s)</font>: The Kosher Mart building was, until 1992, the Rhineland entrance of the Sky Ride - a ski lift transport ride which took you to Minetown, near the Kissing Tower and Twin Turnpike (which is now the location of Great Bear)."
Six_Flags-Licensing_with_other_brands_and_companies,"<font color=""blue"">Question</font>: When did they annocune they had Papa Johns exclusivly?<br/><font color=""blue"">Sentence(s)</font>: On March 30, 2006, Six Flags announced that it will sell no other pizza besides Papa John's at its parks."
Stonehenge-Neopaganism,"<font color=""blue"">Question</font>: When was Stonehenge used for the site of the Stonehenge Free Festival?<br/><font color=""blue"">Sentence(s)</font>: This assembly was largely ridiculed in the press, who mocked the fact that the Neo-druids were dressed up in costumes consisting of white robes and fake beards.Between 1972 and 1984, Stonehenge was the site of the Stonehenge Free Festival."
Colosseum-Interior_seating,"<font color=""blue"">Question</font>: How many people could the colosseum seat?<br/><font color=""blue"">Sentence(s)</font>: According to the Codex-Calendar of 354, the Colosseum could accommodate 87,000 people, although modern estimates put the figure at around 50,000."
Mona_Lisa-History,"<font color=""blue"">Question</font>: When did he start painting the Mona Lisa?<br/><font color=""blue"">Sentence(s)</font>: Leonardo da Vinci began painting the ""Mona Lisa"" in 1503 or 1504 in Florence, Italy."
Vincent_van_Gogh-Abstract,"<font color=""blue"">Question</font>: When was Vincent van Gogh born?<br/><font color=""blue"">Sentence(s)</font>: Vincent Willem van Gogh (; 30 March 185329 July 1890) was a post-Impressionist painter of Dutch origin whose work, notable for its rough beauty, emotional honesty and bold color, had a far-reaching influence on 20th-century art."
