paragraph_id,content
Somebody_That_I_Used_to_Know-Accolades,"<font color=""blue"">Question</font>: Who won the Single of the Year at the ARIA Music Awards of 2011?<br/><font color=""blue"">Sentence(s)</font>: At the ARIA Music Awards of 2011, ""Somebody That I Used To Know"" won Single of the Year, Best Pop Release, Best Video (for Natasha Pincus), Engineer of the Year (for François Tétaz) and Producer of the Year (for Gotye)."
Somebody_That_I_Used_to_Know-Track_listing,"<font color=""blue"">Question</font>: What is the 3rd tracK?<br/><font color=""blue"">Sentence(s)</font>:  ""Somebody That I Used to Know"" (Radio Mix) – 3:33"
Call_Me_Maybe-Music_video,"<font color=""blue"">Question</font>: How many nominations did  the ""Call Me Maybe"" music video recieve?<br/><font color=""blue"">Sentence(s)</font>: The video received three nominations on the 2012 MuchMusic Video Awards in the categories of UR Fave Video, Pop Video of the Year, and Video of the Year."
Call_Me_Maybe-Track_listings,"<font color=""blue"">Question</font>: How long is ""Talk to Me""?<br/><font color=""blue"">Sentence(s)</font>:  ""Talk to Me""  – 2:50"
We_Are_Young-Abstract,"<font color=""blue"">Question</font>: Which year of the Grammy Awards did the song ""We Are Young"" win Song of the Year?<br/><font color=""blue"">Sentence(s)</font>: The song won the Grammy Award for Song of the Year at the 55th Grammy Awards, where it was also a nominee for Record of the Year and Best Pop Duo/Group Performance."
We_Are_Young-Composition_and_lyrical_interpretation,"<font color=""blue"">Question</font>: Which genres does ""We Are Young"" combine?<br/><font color=""blue"">Sentence(s)</font>: ""We Are Young"" is a power ballad that combines the genres of indie pop, alternative rock, and power pop."
Payphone_(song)-Synopsis,"<font color=""blue"">Question</font>: What does levine do when he's almost caught during the car chase?<br/><font color=""blue"">Sentence(s)</font>: A car chase follows and when Levine is almost caught by the police, he steers the stolen convertible onto the wrong side of the road and causes a huge explosion, which destroys one of the police cars."
Payphone_(song)-Covers,"<font color=""blue"">Question</font>: Who posted cover versions of ""Payphone""?<br/><font color=""blue"">Sentence(s)</font>: Tanner Patrick, Dave Days, Megan Nicole, Tiffany Alvord and Avery also posted cover versions of ""Payphone""."
"Lights_(musician)-2008–09:_""Lights""_and_""The_Listening""","<font color=""blue"">Question</font>: What was Lights's second single?<br/><font color=""blue"">Sentence(s)</font>: Her second single, ""February Air,"" sold 12,000 copies."
"Lights_(musician)-2010–present:_""Acoustic""_EP,_""Siberia"",_""Siberia_Acoustic"",_and_""Tour""","<font color=""blue"">Question</font>: When was Lights single ""Toes"" released?<br/><font color=""blue"">Sentence(s)</font>: ""The single ""Toes"" was released on August 16, 2011 as the first single to Lights' second studio album, ""Siberia""."
Glad_You_Came-Chart_performance,"<font color=""blue"">Question</font>: How many copies of the song sold in the United States as of May 2013?<br/><font color=""blue"">Sentence(s)</font>: As of May 2013, the song has sold 3,600,000 copies in the United States."
Glad_You_Came-In_popular_culture_/_Cover_versions,"<font color=""blue"">Question</font>: On March 8th, 2012, which YouTube artist covered the track ""Glad you came""?<br/><font color=""blue"">Sentence(s)</font>:  ""Glad You Came"" was covered by Masha, on her YouTube channel on March 8, 2012."
Stronger_(What_Doesn't_Kill_You)-Usage_in_media,"<font color=""blue"">Question</font>: When did Alcott and Rice skate to the song Dancing on Ice?<br/><font color=""blue"">Sentence(s)</font>: On February 26, 2012, Chemmy Alcott and Sean Rice skated to the song on Dancing on Ice.Maria Menounos and Derek Hough danced to the song in the fourteenth season of Dancing with the Stars.[117."
Stronger_(What_Doesn't_Kill_You)-Cover_versions,"<font color=""blue"">Question</font>: Was the song ""Stronger"" ever covered by a contestant of a tv show?<br/><font color=""blue"">Sentence(s)</font>: </br>On February 21, 2012, It was covered on Glee by Amber Riley and Naya Rivera for the Regionals episode titled ""On My Way"".</br>On March 22, 2012, it was first performed by Diandra Flores on the sixth season of the Finnish television series ""Idols"".</br>On April 11, 2012, it was covered by Hollie Cavanagh, Joshua Ledet and Jessica Sanchez in the eleventh season of ""American Idol"".</br>On May 12, 2012, it was performed by Joelle Moses after will.i.am's recommendation on the first series of ""The Voice UK"".Clarkson also performed the song with Jordan Meredith on the television series ""Duets"", where she is also a mentor.</br>On March 16, 2012, the song was performed by various participants during the season finale of the fifth season of the Danish television series ""X Factor"".</br>On November 8, 2012, the song was performed by Team Adam and Team Blake on the third season of ""The Voice"".</br>On November 28, 2012, the girl-group Fifth Harmony performed the song on the second season of ""The X Factor"".</br>On October 28, 2013, Tessanne Chin covered the song on Season 5 of NBC's singing competition, ""The Voice"" for her performance in the Knockout round vs. Ashley DuBose (who performed ""Hey, Soul Sister"" by Train)."
We_Found_Love-Recognition_and_awards,"<font color=""blue"">Question</font>: Who wrote We found love?<br/><font color=""blue"">Sentence(s)</font>: Produced by Calvin Harris, 'We Found Love' is a swirling party track about love and loss, the rare song that manages to be sad and joyous all at once."
We_Found_Love-Cover_versions,"<font color=""blue"">Question</font>: When did singer Ed Sheeran perform an acoustic cover of ""We Found Love"" for Sirius XM Radio?<br/><font color=""blue"">Sentence(s)</font>: Carmen Smith also performed ""We Found Love"" for her battle round in the Australian Version of the Voice which saw her through to next round.In October 2012, British singer Ed Sheeran did an acoustic cover of the song for Sirius XM Radio."
Starships_(song)-Abstract,"<font color=""blue"">Question</font>: When was ""Starships"" released?<br/><font color=""blue"">Sentence(s)</font>: It was released on February 14, 2012 by Young Money, Cash Money, Universal Republic as the lead single from the album."
