paragraph_id,content
Canada-Foreign_relations_and_military,"Category: Country<br/>Title: Canada<br/>Section: Foreign relations and military<br/><br/>1. Canada currently employs a professional, volunteer military force of 68,250 active personnel and approximately 47,081 reserve personnel.<br/>2. The unified Canadian Forces (CF) comprise the Canadian Army, Royal Canadian Navy, and Royal Canadian Air Force.<br/>3. In 2011, Canada's military expenditure totalled approximately C$24.5 billion.Canada and the United States share the world's longest undefended border, co-operate on military campaigns and exercises, and are each other's largest trading partner.<br/>4. Canada nevertheless has an independent foreign policy, most notably maintaining full relations with Cuba and declining to officially participate in the 2003 invasion of Iraq.<br/>5. Canada also maintains historic ties to the United Kingdom and France and to other former British and French colonies through Canada's membership in the Commonwealth of Nations and the Francophonie.<br/>6. Canada is noted for having a positive relationship with the Netherlands, owing, in part, to its contribution to the Dutch liberation during World War II.Canada's strong attachment to the British Empire and Commonwealth led to major participation in British military efforts in the Second Boer War, World War I and World War II.<br/>7. Since then, Canada has been an advocate for multilateralism, making efforts to resolve global issues in collaboration with other nations.<br/>8. Canada was a founding member of the United Nations in 1945 and of NATO in 1949.<br/>9. During the Cold War, Canada was a major contributor to UN forces in the Korean War and founded the North American Aerospace Defense Command (NORAD) in co-operation with the United States to defend against potential aerial attacks from the Soviet Union.During the Suez Crisis of 1956, future Prime Minister Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force, for which he was awarded the 1957 Nobel Peace Prize.<br/>10. As this was the first UN peacekeeping mission, Pearson is often credited as the inventor of the concept.<br/>11. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989, and has since maintained forces in international missions in Rwanda, the former Yugoslavia, and elsewhere; Canada has sometimes faced controversy over its involvement in foreign countries, notably in the 1993 Somalia Affair.Canada joined the Organization of American States (OAS) in 1990 and hosted the OAS General Assembly in Windsor, Ontario, in June 2000 and the third Summit of the Americas in Quebec City in April 2001.<br/>12. Canada seeks to expand its ties to Pacific Rim economies through membership in the Asia-Pacific Economic Cooperation forum (APEC).In 2001, Canada deployed troops to Afghanistan as part of the US stabilization force and the UN-authorized, NATO-led International Security Assistance Force.<br/>13. In all, Canada lost 158 soldiers, one diplomat, two aid workers, and one journalist during the ten year mission, which cost approximately C$11.3 billion.In February 2007, Canada, Italy, the United Kingdom, Norway, and Russia announced their joint commitment to a $1.5-billion project to help develop vaccines for developing nations, and called on other countries to join them.<br/>14. In August 2007, Canada's territorial claims in the Arctic were challenged after a Russian underwater expedition to the North Pole; Canada has considered that area to be sovereign territory since 1925.<br/>15. Between March and October 2011, Canadian forces participated in a UN-mandated NATO intervention into the 2011 Libyan civil war.<br/>"
The_Holocaust-Persons_of_color,"Category: Historical Events<br/>Title: The Holocaust<br/>Section: Persons of color<br/><br/>1. The number of black people in Germany when the Nazis came to power is variously estimated at 5,000–25,000.<br/>2. It is not clear whether these figures included Asians.<br/>3. According to the United States Holocaust Memorial Museum, Washington, D.C., ""The fate of black people from 1933 to 1945 in Nazi Germany and in German-occupied territories ranged from isolation to persecution, sterilization, medical experimentation, incarceration, brutality, and murder.<br/>4. However, there was no systematic program for their elimination as there was for Jews and other groups.""<br/>5. Meanwhile, Afrikaaners, Berbers, Iranians and Pre-Partition Indians were classified as Aryans, so not persecuted (see main article).<br/>6. Racial restrictions were relaxed to the extent that Turkic peoples, Arabs and South Asians were recruited by the German military due to the shortage of manpower.<br/>"
England-Education,"Category: Country<br/>Title: England<br/>Section: Education<br/><br/>1. The Department for Education is the government department responsible for issues affecting people in England up to the age of 19, including education.<br/>2. State-run and -funded schools are attended by approximately 93% of English schoolchildren.<br/>3. Of these, a minority are faith schools, primarily Church of England or Catholic.<br/>4. Between three and four is nursery school, 4 and 11 is primary school, and 11 to 16 is secondary school.<br/>5. After finishing compulsory education, pupils take a GCSE examination, following which they may decide to continue in further education for two years.<br/>6. Further education colleges, such as sixth form colleges are either separate or attached to the secondary school institution and prepare students to sit A-Level examinations, for higher education at universities.Although most English secondary schools are comprehensive, in some areas there are selective intake grammar schools, to which entrance is subject to passing the eleven plus exam.<br/>7. Around 7.2% of English schoolchildren attend private schools, which are funded by private sources.<br/>8. Standards in state schools are monitored by the Office for Standards in Education, and in private schools by the Independent Schools Inspectorate.Students normally enter universities in the United Kingdom from 18 onwards, where they study for an academic degree.<br/>9. There are over 90 universities in England, all but one of which are public.<br/>10. The Department for Business, Innovation and Skills is the government department responsible for higher education in England.<br/>11. Students are generally entitled to student loans for maintenance.<br/>12. The first degree offered to undergraduates is the Bachelor's degree, which usually takes three years to complete.<br/>13. Students are then eligible for a postgraduate degree, a Master's degree, taking one year, or a Doctorate degree, which takes three.England's universities include some of the highest-ranked universities in the world; the University of Cambridge, Imperial College London, the University of Oxford and University College London are all ranked in the global top 10 in the 2010 ""QS World University Rankings"".<br/>14. The London School of Economics has been described as the world's leading social science institution for both teaching and research.<br/>15. The London Business School is considered one of the world's leading business schools and in 2010 its MBA programme was ranked best in the world by the ""Financial Times"".<br/>16. Academic degrees in England are usually split into classes: first class (I), upper second class (II:1), lower second class (II:2) and third (III), and unclassified (below third class).The King's School, Canterbury and King's School, Rochester are the oldest schools in the English-speaking world.<br/>17. Many of England's better-known schools, such as Winchester College, Eton College, St Paul's School, Rugby School, and Harrow School are fee-paying institutions.<br/>"
Stonehenge-Setting_and_access,"Category: Travel<br/>Title: Stonehenge<br/>Section: Setting and access<br/><br/>1. When Stonehenge was first opened to the public it was possible to walk among and even climb on the stones, but the stones were roped off in 1977 as a result of serious erosion.<br/>2. Visitors are no longer permitted to touch the stones, but are able to walk around the monument from a short distance away.<br/>3. English Heritage does, however, permit access during the summer and winter solstice, and the spring and autumn equinox.<br/>4. Additionally, visitors can make special bookings to access the stones throughout the year.The access situation and the proximity of the two roads has drawn widespread criticism, highlighted by a 2006 National Geographic survey.<br/>5. In the survey of conditions at 94 leading World Heritage Sites, 400 conservation and tourism experts ranked Stonehenge 75th in the list of destinations, declaring it to be ""in moderate trouble"".As motorised traffic increased, the setting of the monument began to be affected by the proximity of the two roads on either side – the A344 to Shrewton on the north side, and the A303 to Winterbourne Stoke to the south.<br/>6. Plans to upgrade the A303 and close the A344 to restore the vista from the stones have been considered since the monument became a World Heritage Site.<br/>7. However, the controversy surrounding expensive re-routing of the roads has led to the scheme being cancelled on multiple occasions.<br/>8. On 6 December 2007, it was announced that extensive plans to build Stonehenge road tunnel under the landscape and create a permanent visitors' centre had been cancelled.On 13 May 2009, the government gave approval for a £25 million scheme to create a smaller visitors' centre and close the A344, although this was dependent on funding and local authority planning consent.<br/>9. On 20 January 2010 Wiltshire Council granted planning permission for a centre to the west and English Heritage confirmed that funds to build it would be available, supported by a £10m grant from the Heritage Lottery Fund.<br/>10. On 23 June 2013 the A344 was closed to begin the work of removing the section of road and grassing it over.<br/>11. The centre, designed by Denton Corker Marshall, opened to the public on 18 December 2013.<br/>"
Yellowstone_National_Park-Flora,"Category: Travel<br/>Title: Yellowstone National Park<br/>Section: Flora<br/><br/>1. Over 1,700 species of trees and other vascular plants are native to the park.<br/>2. Another 170 species are considered to be exotic species and are non-native.<br/>3. Of the eight conifer tree species documented, Lodgepole Pine forests cover 80% of the total forested areas.<br/>4. Other conifers, such as Subalpine Fir, Engelmann Spruce, Rocky Mountain Douglas-fir and Whitebark Pine, are found in scattered groves throughout the park.<br/>5. As of 2007, the whitebark pine is threatened by a fungus known as white pine blister rust; however, this is mostly confined to forests well to the north and west.<br/>6. In Yellowstone, about seven percent of the whitebark pine species have been impacted with the fungus, compared to nearly complete infestations in northwestern Montana.<br/>7. Quaking Aspen and willows are the most common species of deciduous trees.<br/>8. The aspen forests have declined significantly since the early 20th century, but scientists at Oregon State University attribute recent recovery of the aspen to the reintroduction of wolves which has changed the grazing habits of local elk.There are dozens of species of flowering plants that have been identified, most of which bloom between the months of May and September.<br/>9. The Yellowstone Sand Verbena is a rare flowering plant found only in Yellowstone.<br/>10. It is closely related to species usually found in much warmer climates, making the sand verbena an enigma.<br/>11. The estimated 8,000 examples of this rare flowering plant all make their home in the sandy soils on the shores of Yellowstone Lake, well above the waterline.In Yellowstone's hot waters, bacteria form mats of bizarre shapes consisting of trillions of individuals.<br/>12. These bacteria are some of the most primitive life forms on earth.<br/>13. Flies and other arthropods live on the mats, even in the middle of the bitterly cold winters.<br/>14. Initially, scientists thought that microbes there gained sustenance only from sulfur.<br/>15. In 2005 researchers from the University of Colorado at Boulder discovered that the sustenance for at least some of the diverse hyperthermophilic species is molecular hydrogen.<br/>16. ""Thermus aquaticus"" is a bacterium found in the Yellowstone hot springs that produces an important enzyme (Taq polymerase) that is easily replicated in the lab and is useful in replicating DNA as part of the polymerase chain reaction (PCR) process.<br/>17. The retrieval of these bacteria can be achieved with no impact to the ecosystem.<br/>18. Other bacteria in the Yellowstone hot springs may also prove useful to scientists who are searching for cures for various diseases.Non-native plants sometimes threaten native species by using up nutrient resources.<br/>19. Though exotic species are most commonly found in areas with the greatest human visitation, such as near roads and at major tourist areas, they have also spread into the backcountry.<br/>20. Generally, most exotic species are controlled by pulling the plants out of the soil or by spraying, both of which are time consuming and expensive.<br/>"
Marathon-Marathon_races,"Category: Sport<br/>Title: Marathon<br/>Section: Marathon races<br/><br/>1.  races.Annually, more than 500 marathons are organized worldwide.<br/>2. Some of these belong to the Association of International Marathons and Distance Races (AIMS) which has grown since its foundation in 1982 to embrace over 300 member events in 83 countries and territories.<br/>3. The marathons of Berlin, Boston, Chicago, London, New York City and Tokyo form the World Marathon Majors series, awarding $500,000 annually to the best overall male and female performers in the series.In 2006, the editors of Runner's World selected a ""World's Top 10 Marathons"", in which the Amsterdam, Honolulu, Paris, Rotterdam, and Stockholm marathons were featured along with the five mentioned above.<br/>4. Other notable large marathons include United States Marine Corps Marathon, Los Angeles, and Rome.<br/>5. The Boston Marathon is the world's oldest annual marathon, inspired by the success of the 1896 Olympic marathon and held since 1897.<br/>6. The oldest annual marathon in Europe is the Košice Peace Marathon, held since 1924 in Košice, Slovakia.<br/>7. The historic Polytechnic Marathon was discontinued in 1996.<br/>8. The Athens Classic Marathon traces the route of the 1896 Olympic course, starting in Marathon on the eastern coast of Attica, site of the Battle of Marathon of 490 B.C.E., and ending at the Panathenaic Stadium in Athens.The Midnight Sun Marathon is held in Tromsø, Norway at 70 degrees north.<br/>9. Using unofficial and temporary courses, measured by GPS, races of marathon distance are now held at the North Pole, in Antarctica and over desert terrain.<br/>10. Other unusual marathons include the Great Wall Marathon on The Great Wall of China, the Big Five Marathon among the safari wildlife of South Africa, the Great Tibetan Marathon – a marathon in an atmosphere of Tibetan Buddhism at an altitude of , and the Polar Circle Marathon on the permanent ice cap of Greenland.The Intercontinental Istanbul Eurasia Marathon is the only marathon where participants run over two continents (Europe and Asia) during the course of a single event.<br/>11. In the Detroit Free Press Marathon, participants cross the US/Canadian border twice.<br/>12. The Niagara Falls International Marathon includes one international border crossing, via the Peace Bridge from Buffalo, New York, United States to Fort Erie, Ontario, Canada.<br/>"
South_Park-Abstract,"Category: Tv<br/>Title: South Park<br/>Section: Abstract<br/><br/>1. South Park is an American adult animated sitcom created by Trey Parker and Matt Stone for the Comedy Central television network.<br/>2. Intended for mature audiences, the show has become famous for its crude language and dark, surreal humor that satirizes a wide range of topics.<br/>3. The ongoing narrative revolves around four boys—Stan Marsh, Kyle Broflovski, Eric Cartman, and Kenny McCormick—and their bizarre adventures in and around the titular Colorado town.Parker and Stone developed the show from two animated shorts they created in 1992 and 1995.<br/>4. The latter became one of the first Internet viral videos, which ultimately led to its production as a series.<br/>5. ""South Park"" debuted in August 1997 with great success, consistently earning the highest ratings of any basic cable program.<br/>6. Subsequent ratings have varied but it remains one of Comedy Central's highest rated shows, and is slated to air through at least 2016.<br/>7. The pilot episode was produced using cutout animation.<br/>8. All subsequent episodes are created with software that emulates the cutout technique.<br/>9. Parker and Stone perform most of the voice acting.<br/>10. Since 2000, each episode is typically written and produced during the week preceding its broadcast, with Parker serving as the primary writer and director.<br/>11. There have been a total of episodes over the course of the show's 17 seasons.The series has received numerous accolades, including five Primetime Emmy Awards, a Peabody Award, and numerous inclusions in various publications' lists of greatest television shows.<br/>12. The show's popularity resulted in a feature-length theatrical film, """" which was released in June 1999, less than two years after the show's premiere, and became a commercial and critical success.<br/>13. In 2013, ""TV Guide"" ranked ""South Park"" the tenth Greatest TV Cartoon of All Time.<br/>"
Golf-Rules_and_regulations,"Category: Sport<br/>Title: Golf<br/>Section: Rules and regulations<br/><br/>1. The rules of golf are internationally standardised and are jointly governed by The R&A, spun off in 2004 from The Royal and Ancient Golf Club of St Andrews (founded 1754), and the United States Golf Association (USGA).The underlying principle of the rules is fairness.<br/>2. As stated on the back cover of the official rule book:<br/>3. •&nbsp;&nbsp;&nbsp;&nbsp;""Play the ball as it lies, play the course as you find it, and if you cannot do either, do what is fair.<br/>4. ""<br/><br/>5. There are strict regulations regarding the amateur status of golfers.</br>6. Essentially, anybody who has ever received payment or compensation for giving instruction, or played golf for money, is not considered an amateur and may not participate in competitions limited solely to amateurs.<br/>7. However, amateur golfers may receive expenses that comply with strict guidelines and they may accept non-cash prizes within the limits established by the Rules of Amateur Status.In addition to the officially printed rules, golfers also abide by a set of guidelines called golf etiquette.<br/>8. Etiquette guidelines cover matters such as safety, fairness, pace of play, and a player's obligation to contribute to the care of the course.<br/>9. Though there are no penalties for breach of etiquette rules, players generally follow the rules of golf etiquette in an effort to improve everyone's playing experience.<br/>"
Family_Guy-Origins,"Category: Tv<br/>Title: Family Guy<br/>Section: Origins<br/><br/>1. MacFarlane initially conceived ""Family Guy"" in 1995 while studying animation at the Rhode Island School of Design (RISD).<br/>2. During college, he created his thesis film entitled ""The Life of Larry"", which was submitted by his professor at RISD to Hanna-Barbera.<br/>3. MacFarlane was hired by the company.<br/>4. In 1996 MacFarlane created a sequel to ""The Life of Larry"" entitled ""Larry and Steve"", which featured a middle-aged character named Larry and an intellectual dog, Steve; the short was broadcast in 1997 as one of Cartoon Network's ""World Premiere Toons"".Executives at Fox saw the ""Larry"" shorts and contracted MacFarlane to create a series, entitled ""Family Guy"", based on the characters.<br/>5. Fox proposed MacFarlane complete a 15-minute short, and gave him a budget of $50,000.<br/>6. Several aspects of ""Family Guy"" were inspired by the ""Larry shorts"".<br/>7. While working on the series, the characters of Larry and his dog Steve slowly evolved into Peter and Brian.<br/>8. MacFarlane stated that the difference between ""The Life of Larry"" and ""Family Guy"" was that """"Life of Larry"" was shown primarily in my dorm room and ""Family Guy"" was shown after the Super Bowl.""<br/>9. After the pilot aired, the series was given the green light.<br/>10. MacFarlane drew inspiration from several sitcoms such as ""The Simpsons"" and ""All in the Family"".<br/>11. Premises were drawn from several 1980s Saturday morning cartoons he watched as a child, such as ""The Fonz and the Happy Days Gang"" and ""Rubik, the Amazing Cube"".The Griffin family first appeared on the demo that MacFarlane pitched to Fox on May 15, 1998.<br/>12. ""Family Guy"" was originally planned to start out as short movies for the sketch show ""MADtv"", but the plan changed because MADtv's budget was not large enough to support animation production.<br/>13. MacFarlane noted that he then wanted to pitch it to Fox, as he thought that that was the place to create a prime-time animation show.<br/>14. ""Family Guy"" was originally pitched to Fox in the same year as ""King of the Hill"", but the show was not bought until years later, when ""King of the Hill"" became successful.<br/>15. Fox ordered 13 episodes of ""Family Guy"" to air in midseason after MacFarlane impressed executives with a seven-minute demo.<br/>"
Gilmore_Girls-Rory's_friends,"Category: Tv<br/>Title: Gilmore Girls<br/>Section: Rory's friends<br/><br/>1. Rory's friendships with long-time best friend Lane Kim (Keiko Agena), a second-generation Korean American from a strict Christian home, and Paris Geller (Liza Weil), a friend/rival at both Chilton and Yale, play strongly in the show.<br/>2. Although she shares a close bond with the two, they do not appear to get along with one another.<br/>3. At the end of the Season 6, Lane marries Hep Alien band-mate Zach van Gerbig (Todd Lowe), a sweet, slightly clumsy rocker.<br/>4. At the beginning of the Season 7, Lane discovers that she is unexpectedly pregnant and gives birth to twins (Kwan and Steve) later in the season.<br/>5. Also in Season 7, Paris is accepted to Harvard Medical School (Harvard is the school she has wanted to go to for years, as her family are all alumni, but was rejected for undergraduate studies in Season 3).<br/>6. In Season 4, Doyle McMaster (Danny Strong) storms onto the show as the ""Yale Daily News"" editor.<br/>7. He and Paris start dating in Season 5, after Paris's relationship with a much older Professor Asher Fleming (Michael York) ends with Fleming's sudden death.<br/>"
